base,date,pay,type
2014-02-01,2014-01-30,pre,end of month
2014-02-01,2014-01-30,pre,first of month
2014-01-15,2014-01-16,post,middle of month
2014-01-15,2014-01-15,pay,middle of month
2014-01-15,2014-01-14,pre,middle of month
2014-01-01,2014-01-02,post,end of month
2014-01-01,2014-01-02,pre,end of month
2014-01-01,2014-01-01,post,end of month
2014-01-01,2014-01-01,post,first of month
2014-01-01,2013-12-31,pay,end of month
2014-01-01,2013-12-31,pay,first of month
2014-01-01,2013-12-30,pre,end of month
2014-01-01,2013-12-30,pre,first of month
2013-12-16,2013-12-17,post,middle of month
2013-12-16,2013-12-15,pre,middle of month
2013-12-16,2013-12-13,pay,middle of month
2013-12-01,2013-12-02,post,end of month
2013-12-01,2013-12-02,post,first of month
2013-12-01,2013-12-01,pay,first of month
2013-12-01,2013-11-30,pre,end of month
2013-12-01,2013-11-30,pre,first of month
2013-12-01,2013-11-29,pay,end of month
2013-11-16,2013-11-17,post,middle of month
2013-11-16,2013-11-15,pay,middle of month
2013-11-16,2013-11-15,pre,middle of month
2013-11-01,2013-11-02,post,end of month
2013-11-01,2013-11-02,post,first of month
2013-11-01,2013-11-01,pay,first of month
2013-11-01,2013-10-31,pay,end of month
2013-11-01,2013-10-31,pre,end of month
2013-11-01,2013-10-31,pre,first of month
2013-10-16,2013-10-17,post,middle of month
2013-10-16,2013-10-15,pay,middle of month
2013-10-16,2013-10-15,pre,middle of month
2013-10-01,2013-10-02,post,end of month
2013-10-01,2013-10-02,post,first of month
2013-10-01,2013-10-01,pay,first of month
2013-10-01,2013-09-30,pay,end of month
2013-10-01,2013-09-30,pre,end of month
2013-10-01,2013-09-30,pre,first of month
2013-09-16,2013-09-17,post,middle of month
2013-09-16,2013-09-15,pre,middle of month
2013-09-16,2013-09-13,pay,middle of month
2013-09-01,2013-09-02,post,end of month
2013-09-01,2013-09-02,post,first of month
2013-09-01,2013-09-01,pay,first of month
2013-09-01,2013-08-31,pre,end of month
2013-09-01,2013-08-31,pre,first of month
2013-09-01,2013-08-30,pay,end of month
2013-08-16,2013-08-17,post,middle of month
2013-08-16,2013-08-15,pay,middle of month
2013-08-16,2013-08-15,pre,middle of month
2013-08-01,2013-08-02,post,end of month
2013-08-01,2013-08-02,post,first of month
2013-08-01,2013-08-01,pay,first of month
2013-08-01,2013-07-31,pay,end of month
2013-08-01,2013-07-31,pre,end of month
2013-08-01,2013-07-31,pre,first of month
2013-07-16,2013-07-17,post,middle of month
2013-07-16,2013-07-15,pay,middle of month
2013-07-16,2013-07-15,pre,middle of month
2013-07-01,2013-07-02,post,end of month
2013-07-01,2013-07-02,post,first of month
2013-07-01,2013-07-01,pay,first of month
2013-07-01,2013-06-30,pre,end of month
2013-07-01,2013-06-30,pre,first of month
2013-07-01,2013-06-28,pay,end of month
2013-06-16,2013-06-17,post,middle of month
2013-06-16,2013-06-15,pre,middle of month
2013-06-16,2013-06-14,pay,middle of month
2013-06-01,2013-06-02,post,end of month
2013-06-01,2013-06-02,post,first of month
2013-06-01,2013-06-01,pay,first of month
2013-06-01,2013-05-31,pay,end of month
2013-06-01,2013-05-31,pre,end of month
2013-06-01,2013-05-31,pre,first of month
2013-05-16,2013-05-17,post,middle of month
2013-05-16,2013-05-15,pay,middle of month
2013-05-16,2013-05-15,pre,middle of month
2013-05-01,2013-05-02,post,end of month
2013-05-01,2013-05-02,post,first of month
2013-05-01,2013-05-01,pay,first of month
2013-05-01,2013-04-30,pay,end of month
2013-05-01,2013-04-30,pre,end of month
2013-05-01,2013-04-30,pre,first of month
2013-04-16,2013-04-17,post,middle of month
2013-04-16,2013-04-15,pay,middle of month
2013-04-16,2013-04-15,pre,middle of month
2013-04-01,2013-04-02,post,end of month
2013-04-01,2013-04-02,post,first of month
2013-04-01,2013-04-01,pay,first of month
2013-04-01,2013-03-31,pre,end of month
2013-04-01,2013-03-31,pre,first of month
2013-04-01,2013-03-29,pay,end of month
2013-03-16,2013-03-17,post,middle of month
2013-03-16,2013-03-15,pay,middle of month
2013-03-16,2013-03-15,pre,middle of month
2013-03-01,2013-03-02,post,end of month
2013-03-01,2013-03-02,post,first of month
2013-03-01,2013-03-01,pay,first of month
2013-03-01,2013-02-28,pay,end of month
2013-03-01,2013-02-28,pre,end of month
2013-03-01,2013-02-28,pre,first of month
2013-02-16,2013-02-17,post,middle of month
2013-02-16,2013-02-15,pay,middle of month
2013-02-16,2013-02-15,pre,middle of month
2013-02-01,2013-02-02,post,end of month
2013-02-01,2013-02-02,post,first of month
2013-02-01,2013-02-01,pay,first of month
2013-02-01,2013-01-31,pay,end of month
2013-02-01,2013-01-31,pre,end of month
2013-02-01,2013-01-31,pre,first of month
2013-01-16,2013-01-17,post,middle of month
2013-01-16,2013-01-15,pay,middle of month
2013-01-16,2013-01-15,pre,middle of month
2013-01-01,2013-01-02,post,end of month
2013-01-01,2013-01-02,post,first of month
2013-01-01,2013-01-01,pay,first of month
2013-01-01,2012-12-31,pay,end of month
2013-01-01,2012-12-31,pre,end of month
2013-01-01,2012-12-31,pre,first of month
2012-12-16,2012-12-17,post,middle of month
2012-12-16,2012-12-15,pre,middle of month
2012-12-16,2012-12-14,pay,middle of month
2012-12-01,2012-12-02,post,end of month
2012-12-01,2012-12-02,post,first of month
2012-12-01,2012-12-01,pay,first of month
2012-12-01,2012-11-30,pay,end of month
2012-12-01,2012-11-30,pre,end of month
2012-12-01,2012-11-30,pre,first of month
2012-11-16,2012-11-17,post,middle of month
2012-11-16,2012-11-15,pay,middle of month
2012-11-16,2012-11-15,pre,middle of month
2012-11-01,2012-11-02,post,end of month
2012-11-01,2012-11-02,post,first of month
2012-11-01,2012-11-01,pay,first of month
2012-11-01,2012-10-31,pay,end of month
2012-11-01,2012-10-31,pre,end of month
2012-11-01,2012-10-31,pre,first of month
2012-10-16,2012-10-17,post,middle of month
2012-10-16,2012-10-15,pay,middle of month
2012-10-16,2012-10-15,pre,middle of month
2012-10-01,2012-10-02,post,end of month
2012-10-01,2012-10-02,post,first of month
2012-10-01,2012-10-01,pay,first of month
2012-10-01,2012-09-30,pre,end of month
2012-10-01,2012-09-30,pre,first of month
2012-10-01,2012-09-28,pay,end of month
2012-09-16,2012-09-17,post,middle of month
2012-09-16,2012-09-15,pre,middle of month
2012-09-16,2012-09-14,pay,middle of month
2012-09-01,2012-09-02,post,end of month
2012-09-01,2012-09-02,post,first of month
2012-09-01,2012-09-01,pay,first of month
2012-09-01,2012-08-31,pay,end of month
2012-09-01,2012-08-31,pre,end of month
2012-09-01,2012-08-31,pre,first of month
2012-08-16,2012-08-17,post,middle of month
2012-08-16,2012-08-15,pay,middle of month
2012-08-16,2012-08-15,pre,middle of month
2012-08-01,2012-08-02,post,end of month
2012-08-01,2012-08-02,post,first of month
2012-08-01,2012-08-01,pay,first of month
2012-08-01,2012-07-31,pay,end of month
2012-08-01,2012-07-31,pre,end of month
2012-08-01,2012-07-31,pre,first of month
2012-07-16,2012-07-17,post,middle of month
2012-07-16,2012-07-15,pre,middle of month
2012-07-16,2012-07-13,pay,middle of month
2012-07-01,2012-07-02,post,end of month
2012-07-01,2012-07-02,post,first of month
2012-07-01,2012-07-01,pay,first of month
2012-07-01,2012-06-30,pre,end of month
2012-07-01,2012-06-30,pre,first of month
2012-07-01,2012-06-29,pay,end of month
2012-06-16,2012-06-17,post,middle of month
2012-06-16,2012-06-15,pay,middle of month
2012-06-16,2012-06-15,pre,middle of month
2012-06-01,2012-06-02,post,end of month
2012-06-01,2012-06-02,post,first of month
2012-06-01,2012-06-01,pay,first of month
2012-06-01,2012-05-31,pay,end of month
2012-06-01,2012-05-31,pre,end of month
2012-06-01,2012-05-31,pre,first of month
2012-05-16,2012-05-17,post,middle of month
2012-05-16,2012-05-15,pay,middle of month
2012-05-16,2012-05-15,pre,middle of month
2012-05-01,2012-05-02,post,end of month
2012-05-01,2012-05-02,post,first of month
2012-05-01,2012-05-01,pay,first of month
2012-05-01,2012-04-30,pay,end of month
2012-05-01,2012-04-30,pre,end of month
2012-05-01,2012-04-30,pre,first of month
2012-04-16,2012-04-17,post,middle of month
2012-04-16,2012-04-15,pre,middle of month
2012-04-16,2012-04-13,pay,middle of month
2012-04-01,2012-04-02,post,end of month
2012-04-01,2012-04-02,post,first of month
2012-04-01,2012-04-01,pay,first of month
2012-04-01,2012-03-31,pre,end of month
2012-04-01,2012-03-31,pre,first of month
2012-04-01,2012-03-30,pay,end of month
2012-03-16,2012-03-17,post,middle of month
2012-03-16,2012-03-15,pay,middle of month
2012-03-16,2012-03-15,pre,middle of month
2012-03-01,2012-03-02,post,end of month
2012-03-01,2012-03-02,post,first of month
2012-03-01,2012-03-01,pay,first of month
2012-03-01,2012-02-29,pay,end of month
2012-03-01,2012-02-29,pre,end of month
2012-03-01,2012-02-29,pre,first of month
2012-02-16,2012-02-17,post,middle of month
2012-02-16,2012-02-15,pay,middle of month
2012-02-16,2012-02-15,pre,middle of month
2012-02-01,2012-02-02,post,end of month
2012-02-01,2012-02-02,post,first of month
2012-02-01,2012-02-01,pay,first of month
2012-02-01,2012-01-31,pay,end of month
2012-02-01,2012-01-31,pre,end of month
2012-02-01,2012-01-31,pre,first of month
2012-01-16,2012-01-17,post,middle of month
2012-01-16,2012-01-15,pre,middle of month
2012-01-16,2012-01-13,pay,middle of month
2012-01-01,2012-01-02,post,end of month
2012-01-01,2012-01-02,post,first of month
2012-01-01,2012-01-01,pay,first of month
