totalTickets,eventdate,distance,atm
6,7/18/2013,920.18,AZ0445
160,6/6/2013,1837.44,AZ0445
559,8/31/2013,1813.5,AZ0445
417,12/9/2013,1813.5,AZ0445
282,8/10/2013,1837.44,AZ0445
18,8/24/2013,920.18,AZ0445
21,9/30/2013,920.18,AZ0445
0,5/11/2013,954.04,AZ0445
10,5/13/2013,954.04,AZ0445
14,5/16/2013,954.04,AZ0445
9,5/12/2013,954.04,AZ0445
6,5/17/2013,954.04,AZ0445
8,5/12/2013,954.04,AZ0445
0,5/11/2013,920.18,AZ0445
43,5/12/2013,1813.5,AZ0445
47,5/15/2013,1837.44,AZ0445
237,7/27/2013,1837.44,AZ0445
12,5/12/2013,1837.44,AZ0445
329,5/31/2013,1813.5,AZ0445
400,6/4/2013,1837.44,AZ0445
519,9/11/2013,1837.44,AZ0445
345,10/10/2013,1813.5,AZ0445
1259,8/1/2013,1813.5,AZ0445
0,5/25/2013,528.43,AZ0489
0,5/26/2013,528.43,AZ0489
4,5/17/2013,528.43,AZ0489
0,6/3/2013,1974.31,AZ0530
0,4/27/2013,1974.31,AZ0530
0,4/19/2013,1974.31,AZ0530
0,4/19/2013,2993.21,AZ0733
45,6/13/2013,2993.21,AZ0733
75,7/12/2013,2993.21,AZ0733
21,6/27/2013,2993.21,AZ0733
0,6/21/2013,1391.8,AZ0751
0,5/10/2013,1556.06,AZ0751
9,6/1/2013,1391.8,AZ0751
0,4/15/2013,1391.8,AZ0751
19,5/31/2013,1391.8,AZ0751
8,7/14/2013,1391.8,AZ0751
0,6/14/2013,1391.8,AZ0751
0,4/20/2013,1391.8,AZ0751
14,6/24/2013,248.6,AZ0751
29,5/29/2013,1391.8,AZ0751
0,4/16/2013,1391.8,AZ0751
37,9/23/2013,1391.8,AZ0751
38,5/24/2013,1391.8,AZ0751
0,4/29/2013,1556.06,AZ0751
0,4/28/2013,1556.06,AZ0751
0,4/24/2013,1556.06,AZ0751
0,4/26/2013,1556.06,AZ0751
0,4/28/2013,1556.06,AZ0751
0,4/27/2013,1556.06,AZ0751
0,4/27/2013,1556.06,AZ0751
0,4/25/2013,1556.06,AZ0751
0,4/25/2013,1398.57,AZ0751
0,4/17/2013,1398.57,AZ0751
0,4/24/2013,1398.57,AZ0751
0,4/20/2013,1398.57,AZ0751
0,5/5/2013,1398.57,AZ0751
0,5/12/2013,1398.57,AZ0751
0,5/8/2013,1398.57,AZ0751
0,4/14/2013,1398.57,AZ0751
0,4/24/2013,1398.57,AZ0751
0,5/1/2013,1398.57,AZ0751
0,5/11/2013,1398.57,AZ0751
0,5/18/2013,1398.57,AZ0751
0,5/19/2013,1398.57,AZ0751
0,4/27/2013,1398.57,AZ0751
0,4/21/2013,1398.57,AZ0751
0,5/16/2013,1398.57,AZ0751
0,4/15/2013,1398.57,AZ0751
0,5/13/2013,1398.57,AZ0751
0,5/20/2013,1398.57,AZ0751
0,5/9/2013,1398.57,AZ0751
0,4/19/2013,1398.57,AZ0751
0,5/17/2013,1398.57,AZ0751
0,5/10/2013,1398.57,AZ0751
0,4/18/2013,1398.57,AZ0751
0,4/11/2013,1398.57,AZ0751
0,5/2/2013,1398.57,AZ0751
0,4/25/2013,1398.57,AZ0751
0,5/3/2013,1398.57,AZ0751
0,4/12/2013,1398.57,AZ0751
0,4/22/2013,1398.57,AZ0751
0,4/26/2013,1398.57,AZ0751
0,4/17/2013,1398.57,AZ0751
0,5/4/2013,1398.57,AZ0751
0,4/13/2013,1398.57,AZ0751
0,4/20/2013,1398.57,AZ0751
0,4/28/2013,1398.57,AZ0751
0,4/14/2013,1398.57,AZ0751
0,5/6/2013,1398.57,AZ0751
0,4/29/2013,1398.57,AZ0751
0,4/27/2013,1398.57,AZ0751
0,4/21/2013,1398.57,AZ0751
0,5/15/2013,1398.57,AZ0751
0,5/2/2013,1391.8,AZ0751
0,5/1/2013,1391.8,AZ0751
0,5/21/2013,1391.8,AZ0751
38,9/17/2013,1391.8,AZ0751
0,4/17/2013,1391.8,AZ0751
0,4/13/2013,1391.8,AZ0751
0,5/7/2013,1391.8,AZ0751
0,5/4/2013,1391.8,AZ0751
0,5/29/2013,1256.29,AZ0751
0,4/14/2013,1391.8,AZ0751
0,5/8/2013,248.6,AZ0751
38,10/11/2013,1391.8,AZ0751
18,5/12/2013,1556.06,AZ0751
18,5/13/2013,1556.06,AZ0751
0,5/12/2013,1556.06,AZ0751
0,5/11/2013,1556.06,AZ0751
0,5/11/2013,1556.06,AZ0751
13,5/18/2013,1391.8,AZ0751
37,10/16/2013,1391.8,AZ0751
0,5/27/2013,2507.55,AZ0808
0,4/21/2013,2507.55,AZ0808
0,6/2/2013,2507.55,AZ0808
0,6/3/2013,1974.31,AZ0889
0,4/27/2013,1974.31,AZ0889
0,4/19/2013,1974.31,AZ0889
7,5/18/2013,1714.64,AZ0905
0,4/26/2013,2978.7,AZ0905
0,4/28/2013,2978.7,AZ0905
2,7/17/2013,2978.7,AZ0905
8,8/16/2013,2978.7,AZ0905
68,8/10/2013,2978.7,AZ0905
15,7/10/2013,1714.64,AZ0905
7,5/18/2013,1714.64,AZ0906
0,4/26/2013,2978.7,AZ0906
0,4/28/2013,2978.7,AZ0906
2,7/17/2013,2978.7,AZ0906
8,8/16/2013,2978.7,AZ0906
68,8/10/2013,2978.7,AZ0906
15,7/10/2013,1714.64,AZ0906
91,6/23/2013,1837.44,AZ0936
0,10/20/2013,1468.2,AZ0936
149,1/31/2014,1837.44,AZ0936
0,4/19/2013,890.71,AZ0936
0,4/18/2013,1468.2,AZ0936
36,5/19/2013,1813.5,AZ0936
0,5/9/2013,920.18,AZ0936
204,6/19/2013,1837.44,AZ0936
57,9/2/2013,1837.44,AZ0936
139,10/31/2013,1837.44,AZ0936
12,5/18/2013,954.04,AZ0936
0,5/4/2013,954.04,AZ0936
6,5/18/2013,954.04,AZ0936
0,5/20/2013,954.04,AZ0936
6,5/19/2013,954.04,AZ0936
0,5/6/2013,954.04,AZ0936
0,5/9/2013,954.04,AZ0936
0,5/10/2013,954.04,AZ0936
0,5/2/2013,954.04,AZ0936
